district,price,building_type,street,region,area,ceiling_height
Center,140000.0,other,Sayat Nova Ave,Yerevan,92.0,2.8
Center,175000.0,stone,Tumanyan St,Yerevan,65.0,2.8
Center,76000.0,stone,Kajaznuni St,Yerevan,70.0,2.8
Center,300000.0,stone,Tamanyan St,Yerevan,112.0,3.2
Center,230000.0,stone,Tumanyan St,Yerevan,147.0,3.2
Center,25000.0,stone,G.Lusavorich St,Yerevan,32.0,2.6
Center,290000.0,monolit,Aram St,Yerevan,137.0,3.0
Center,110000.0,stone,Vardanants St,Yerevan,75.0,3.2
Center,29000.0,panel,M.Khorenatsi St,Yerevan,42.0,2.8
Center,158000.0,monolit,Vardanants St,Yerevan,91.0,3.0
Center,57000.0,stone,Tigran Mets Ave,Yerevan,65.0,2.8
Center,57000.0,stone,Abovyan St,Yerevan,50.0,3.2
Center,69000.0,stone,Tumanyan St,Yerevan,50.0,3.2
Center,62000.0,panel,E. Qochar St,Yerevan,90.0,2.8
Center,140000.0,stone,Nalbandyan St,Yerevan,124.0,3.2
Center,75000.0,stone,Heratsi St,Yerevan,113.0,3.0
Center,115000.0,stone,Nalbandyan St,Yerevan,92.0,2.8
Center,62000.0,stone,Charents St,Yerevan,52.0,3.2
Center,70000.0,panel,Paronyan St,Yerevan,84.0,3.0
Center,100000.0,panel,Sayat Nova Ave,Yerevan,82.0,2.8
Center,55000.0,panel,Saryan St,Yerevan,43.0,2.8
Center,110000.0,stone,Abovyan St,Yerevan,108.0,3.2
Center,120000.0,stone,Paronyan St,Yerevan,102.0,3.0
Center,71000.0,stone,Buzand St,Yerevan,100.0,3.2
Center,88000.0,stone,Sayat Nova Ave,Yerevan,90.0,2.8
Center,55000.0,panel,Bryusov St,Yerevan,96.0,2.8
Center,75000.0,monolit,Tsitsernakaberd Highway,Yerevan,137.0,3.0
Center,78000.0,stone,Vardanants St,Yerevan,105.0,3.2
Center,295000.0,other,Nalbandyan St,Yerevan,135.0,3.0
Center,300000.0,monolit,Northern Ave,Yerevan,120.0,3.0
Center,300000.0,monolit,Northern Ave,Yerevan,120.0,3.0
Center,300000.0,monolit,Pushkin St,Yerevan,120.0,3.0
Center,300000.0,stone,Teryan St,Yerevan,92.0,2.8
Center,300000.0,monolit,Mashtots Ave,Yerevan,118.0,3.2
Center,300000.0,monolit,Northern Ave,Yerevan,120.0,3.0
Center,300000.0,monolit,Northern Ave,Yerevan,104.0,3.0
Center,300000.0,monolit,Amiryan St,Yerevan,120.0,3.0
Center,300000.0,monolit,Aram St,Yerevan,141.0,3.0
Center,370000.0,monolit,Aram St,Yerevan,147.0,3.2
Center,370000.0,stone,Khanjyan St,Yerevan,120.0,2.8
Center,380000.0,monolit,Aram St,Yerevan,115.0,3.2
Center,380000.0,monolit,Northern Ave,Yerevan,140.0,3.2
Center,390000.0,other,Northern Ave,Yerevan,115.0,3.2
Center,389000.0,monolit,Northern Ave,Yerevan,127.0,3.0
Center,390000.0,monolit,Vazgen Sargsyan St,Yerevan,135.0,2.8
Center,399000.0,monolit,Northern Ave,Yerevan,130.0,3.0
Center,550000.0,other,Northern Ave,Yerevan,140.0,3.0
Center,550000.0,monolit,Northern Ave,Yerevan,140.0,3.0
Center,550000.0,monolit,Northern Ave,Yerevan,140.0,3.0
Center,400000.0,monolit,Northern Ave,Yerevan,127.0,3.0
Center,75000.0,panel,E. Qochar St,Yerevan,96.0,2.8
Center,125000.0,stone,Baghramyan Ave (Kentron),Yerevan,104.0,3.2
Center,135000.0,monolit,Amiryan St,Yerevan,108.0,3.0
Center,140000.0,monolit,Amiryan St,Yerevan,78.0,3.0
Center,72000.0,stone,Tigran Mets Ave,Yerevan,80.0,2.8
Center,92000.0,stone,Baghramyan Ave (Kentron),Yerevan,63.0,2.8
Center,51000.0,stone,Nalbandyan St,Yerevan,48.0,3.0
Center,150000.0,stone,Mashtots Ave,Yerevan,148.0,3.2
Center,150000.0,stone,D. Demirchyan St,Yerevan,97.0,3.2
Center,120000.0,stone,Mashtots Ave,Yerevan,54.0,3.2
Center,57000.0,panel,Aygestan 9 St,Yerevan,84.0,2.8
Center,57000.0,panel,NarDos St,Yerevan,80.0,2.8
Center,40000.0,panel,Saryan St,Yerevan,39.0,2.8
Center,90000.0,stone,Zakyan St,Yerevan,55.0,2.8
Center,70000.0,stone,D. Demirchyan St,Yerevan,89.0,2.8
Center,45000.0,panel,Zavaryan St,Yerevan,69.0,2.8
Center,139000.0,stone,Isahakyan St,Yerevan,75.0,3.2
Center,97500.0,panel,Saryan St,Yerevan,106.0,2.8
Center,100000.0,other,Israelyan St,Yerevan,93.0,3.2
Center,85000.0,panel,Aghayan St,Yerevan,50.0,2.8
Center,82000.0,stone,Nalbandyan St,Yerevan,87.0,2.8
Center,125000.0,stone,Moskovyan St,Yerevan,61.0,3.0
Center,170000.0,stone,Koghbatsi St,Yerevan,130.0,3.0
Center,55000.0,panel,Koghbatsi St,Yerevan,48.0,2.8
Center,72000.0,panel,Zavaryan St,Yerevan,91.0,2.8
Center,105000.0,panel,Kajaznuni St,Yerevan,93.0,3.0
Center,97000.0,panel,NarDos St,Yerevan,93.0,2.8
Center,63000.0,other,Zavaryan St,Yerevan,93.0,2.8
Center,35000.0,panel,Kajaznuni St,Yerevan,38.0,2.8
Center,125560.0,monolit,Nalbandyan St,Yerevan,65.0,3.0
Center,155000.0,stone,Sayat Nova Ave,Yerevan,90.0,3.2
Center,109000.0,monolit,Ler. Kamsar St,Yerevan,92.0,3.0
Center,81600.0,monolit,Ler. Kamsar St,Yerevan,107.0,3.0
Center,65000.0,panel,E. Qochar St,Yerevan,97.0,2.8
Center,220000.0,monolit,Amiryan St,Yerevan,96.0,3.0
Center,408000.0,monolit,Buzand St,Yerevan,130.0,3.0
Center,133000.0,other,Vardanants St,Yerevan,101.0,2.8
Center,72000.0,stone,Vardanants St,Yerevan,62.0,3.2
Center,240000.0,monolit,Vardanants St,Yerevan,128.0,3.0
Center,55000.0,panel,Vardanants St,Yerevan,35.0,3.2
Center,85000.0,stone,Vardanants St,Yerevan,96.0,3.2
Center,45000.0,other,Tigran Mets Ave,Yerevan,52.0,2.8
Center,118000.0,monolit,Aram St,Yerevan,62.0,3.0
Center,225000.0,monolit,Yekmalyan St,Yerevan,147.0,3.0
Center,115000.0,stone,Mashtots Ave,Yerevan,85.0,3.2
Center,135000.0,other,Mashtots Ave,Yerevan,84.0,2.8
Center,200000.0,stone,Baghramyan Ave (Kentron),Yerevan,114.0,3.2
Center,39000.0,other,M.Khorenatsi St,Yerevan,41.0,2.8
Center,240000.0,monolit,Aram St,Yerevan,119.0,3.0
Center,74000.0,panel,M.Khorenatsi St,Yerevan,91.0,2.8
Center,325000.0,monolit,Northern Ave,Yerevan,123.0,3.0
Center,330000.0,other,Hin yerevantsi St,Yerevan,124.0,3.0
Center,330000.0,monolit,Aram St,Yerevan,135.0,3.2
Center,344000.0,monolit,Buzand St,Yerevan,137.0,2.8
Center,340000.0,monolit,Northern Ave,Yerevan,121.0,3.0
Center,340000.0,monolit,Northern Ave,Yerevan,128.0,3.0
Center,340000.0,monolit,Northern Ave,Yerevan,121.0,3.0
Center,340000.0,monolit,Northern Ave,Yerevan,128.0,3.0
Center,340000.0,monolit,Pushkin St,Yerevan,121.0,3.0
Center,340000.0,other,Northern Ave,Yerevan,130.0,3.0
Center,340000.0,monolit,Northern Ave,Yerevan,128.0,2.8
Center,340000.0,monolit,Northern Ave,Yerevan,128.0,3.0
Center,75000.0,stone,Baghramyan Ave (Kentron),Yerevan,66.0,2.8
Center,170000.0,panel,Saryan St,Yerevan,123.0,2.8
Center,220000.0,stone,Hanrapetutyan St,Yerevan,120.0,3.2
Center,100000.0,stone,Tpagrichner St,Yerevan,80.0,2.8
